[17:42:14] obs_jac -> obs_jac_selftest.npz: N=0.000000 abscissa=-5.5065e+01 n_pos=0
[17:42:14] ratcheted_cols -> ratcheted_selftest.npz: 2 columns
[17:42:14] selftest OK -- every named observation produced on the miniature
[17:42:14] v3a: order 60 y_max 30.0 start N=0.0 caps calls=4000 wall=25200.0s
[17:42:18] eval 1: N=0.0000 T_cm=10.00000 T_gamma=10.00000 ratio=1.000000
[17:46:08] eval 51: N=0.0000 T_cm=10.00000 T_gamma=10.00000 ratio=1.000000
[17:49:58] eval 101: N=0.0000 T_cm=10.00000 T_gamma=10.00000 ratio=1.000000
[17:53:47] eval 151: N=0.0000 T_cm=10.00000 T_gamma=10.00000 ratio=1.000000
[17:57:37] eval 201: N=0.0000 T_cm=10.00000 T_gamma=10.00000 ratio=1.000000
[18:01:23] eval 251: N=0.0000 T_cm=10.00000 T_gamma=10.00000 ratio=1.000000
[18:05:12] eval 301: N=0.0007 T_cm=9.99301 T_gamma=9.99301 ratio=1.000000
[18:09:04] eval 351: N=0.1628 T_cm=8.49743 T_gamma=8.49753 ratio=1.000013
[18:12:56] eval 401: N=0.1628 T_cm=8.49743 T_gamma=8.49753 ratio=1.000013
[18:16:48] eval 451: N=0.1628 T_cm=8.49743 T_gamma=8.49753 ratio=1.000013
[18:20:40] eval 501: N=0.1628 T_cm=8.49743 T_gamma=8.49753 ratio=1.000013
[18:24:33] eval 551: N=0.1628 T_cm=8.49743 T_gamma=8.49753 ratio=1.000013
[18:28:24] eval 601: N=0.1628 T_cm=8.49743 T_gamma=8.49753 ratio=1.000013
[18:32:16] eval 651: N=0.1628 T_cm=8.49743 T_gamma=8.49753 ratio=1.000013
[18:36:08] eval 701: N=0.1628 T_cm=8.49743 T_gamma=8.49753 ratio=1.000013
[18:40:00] eval 751: N=0.1813 T_cm=8.34162 T_gamma=8.34174 ratio=1.000014
[18:43:53] eval 801: N=0.1813 T_cm=8.34162 T_gamma=8.34174 ratio=1.000014
[18:47:45] eval 851: N=0.1813 T_cm=8.34162 T_gamma=8.34174 ratio=1.000014
[18:51:37] eval 901: N=0.1813 T_cm=8.34162 T_gamma=8.34174 ratio=1.000014
[18:55:29] eval 951: N=0.1629 T_cm=8.49696 T_gamma=8.49707 ratio=1.000013
[18:59:20] eval 1001: N=0.1629 T_cm=8.49696 T_gamma=8.49707 ratio=1.000013
[19:03:11] eval 1051: N=0.1629 T_cm=8.49696 T_gamma=8.49707 ratio=1.000013
